2way travel time [s],AS [V],Running average of AS [V],PSD [dB/Hz]
0.0,15.759992480173393,15.759992480173393,-4.069865041662734
5.425347222222229e-10,0.5395394027668641,8.149765941470129,-18.725193432301573
1.0850694444444458e-09,8.428197486898647,4.483868444832756,-6.7880780678939825
1.6276041666666687e-09,1.12584786820623,4.777022677552439,-15.530628002771241
2.1701388888888916e-09,22.900176412202754,12.013012140204491,-2.447036821442571
2.7126736111111145e-09,1.747667143775685,12.32392177798922,-13.620837885422812
3.2552083333333375e-09,15.671525826721037,8.709596485248362,-4.094312273582369
3.79774305555556e-09,4.197340855150909,9.934433340935973,-9.815682715270839
4.340277777777783e-09,20.822276482521797,12.509808668836353,-2.860143012656482
4.882812500000006e-09,5.204462584678777,13.013369533600287,-8.881666193939994
5.4253472222222225e-09,40.22930317675713,22.716882880717954,0.0
5.967881944444445e-09,3.2358296698980804,21.732566423327604,-10.945568572842772
6.510416666666668e-09,25.397048797707857,14.316439233802969,-1.9975925667997538
7.052951388888891e-09,12.231809938907181,18.81442936830752,-5.170517858233809
7.595486111111114e-09,13.191817472580391,12.711813705743786,-4.84237876497012
8.138020833333337e-09,4.347615366398728,8.769716419489558,-9.662913950237613
8.68055555555556e-09,11.37616174579288,7.861888556095804,-5.485467518873252
9.223090277777783e-09,4.169750565701727,7.772956155747304,-9.844324338240586
9.765625000000006e-09,7.572619512717825,5.8711850392097755,-7.252963739093716
1.0308159722222229e-08,1.357875340548612,4.465247426633218,-14.716826086340163
1.0850694444444445e-08,7.360921905773346,4.359398623160979,-7.37610299901971
1.1393229166666668e-08,1.3935349522686515,4.377228429020999,-14.60424644054479
1.193576388888889e-08,15.134698127319497,8.264116539794074,-4.2456874704146665
1.2478298611111114e-08,11.930132057907793,13.532415092613645,-5.278972590759025
1.3020833333333337e-08,8.153813639233157,10.041972848570474,-6.931817289538255
1.356336805555556e-08,16.19290801346081,12.173360826346983,-3.952176612955528
1.4105902777777782e-08,13.411958975649005,14.802433494554908,-4.770502937540485
1.4648437500000005e-08,15.082448726530743,14.247203851089875,-4.260706525105887
1.519097222222222e-08,15.181571082097605,15.132009904314174,-4.2322579275569545
1.573350694444445e-08,14.008000623085529,14.594785852591567,-4.581663577046218
1.6276041666666667e-08,5.3908536115095105,9.69942711729752,-8.728849713644053
1.6818576388888897e-08,15.722685081428056,10.556769346468784,-4.080157943187185
1.7361111111111113e-08,10.649773660074981,13.18622937075152,-5.772021322971547
1.7903645833333343e-08,9.362763767560244,10.006268713817612,-6.331384442839518
1.844618055555556e-08,8.585998143797054,8.97438095567865,-6.707517198442218
1.8988715277777775e-08,17.11007969748969,12.848038920643372,-3.7129047764024263
1.9531250000000005e-08,2.0428443375039804,9.576462017496835,-12.94307234967312
2.007378472222222e-08,13.809490214792522,7.926167276148251,-4.643648634516845
2.061631944444445e-08,5.243796338450509,9.526643276621515,-8.848966941286374
2.1158854166666667e-08,13.731950437844244,9.487873388147376,-4.668102828221415
2.1701388888888897e-08,2.7829891557461433,8.257469796795194,-11.600309960413679
2.2243923611111113e-08,8.511403155081021,5.6471961554135826,-6.745413481005653
2.2786458333333342e-08,2.4140621650242693,5.462732660052645,-12.217940605835455
2.332899305555556e-08,13.858168066668643,8.136115115846456,-4.628366861076871
2.3871527777777775e-08,1.8859221977312235,7.872045132199934,-13.290187378114634
2.4414062500000004e-08,5.051526232300353,3.468724215015788,-9.01119897499061
2.495659722222222e-08,1.3123126641579022,3.1819194482291278,-14.865051901944419
2.549913194444445e-08,18.115731538515373,9.714022101336637,-3.4648663395594657
2.6041666666666667e-08,1.2483082891882225,9.682019913851798,-15.082206557136535
2.6584201388888896e-08,6.97378606842094,4.111047178804581,-7.610738895024731
2.7126736111111112e-08,2.9013986842416037,4.9375923763312715,-11.419351003335033
2.7669270833333342e-08,18.03189582097654,10.466647252609071,-3.4850112051868654
2.8211805555555558e-08,0.982711244322337,9.50730353264944,-16.121165847578197
2.8754340277777775e-08,16.1078358587194,8.54527355152087,-3.9750531466616152
2.9296875000000004e-08,2.315216213232001,9.211526035975702,-12.399509549904694
2.983940972222222e-08,8.032002826853045,5.173609520042523,-6.997186574473757
3.038194444444445e-08,3.0542426224770938,5.54312272466507,-11.196389765856743
3.0924479166666666e-08,8.400721601879024,5.727482112178059,-6.802259175770176
3.1467013888888896e-08,6.687344474901884,7.544033038390454,-7.792888151772036
3.200954861111111e-08,9.734235256070951,8.210789865486419,-6.1624067207571445
3.255208333333334e-08,4.270880494596799,7.002557875333875,-9.74025090687597
3.309461805555556e-08,13.546924660852575,8.908902577724687,-4.727017945485887
3.363715277777779e-08,6.013079068481343,9.780001864666959,-8.25445595495642
3.4179687500000004e-08,11.422247571147368,8.717663319814356,-5.4679094106481285
3.472222222222222e-08,8.345535972015899,9.883891771581634,-6.830882766661358
3.526475694444445e-08,8.43100147922233,8.388268725619113,-6.786633445990949
3.5807291666666666e-08,6.577924586064152,7.50446303264324,-7.864536199787532
3.6349826388888895e-08,6.400438075029716,6.489181330546934,-7.983328100111854
3.689236111111111e-08,4.252352378487766,5.326395226758741,-9.759132641966575
3.743489583333334e-08,4.986653006504824,4.619502692496295,-9.067333609696389
3.797743055555556e-08,5.7819153509175605,5.384284178711193,-8.424707809260983
3.851996527777779e-08,7.050049515666717,6.415982433292139,-7.563503428502596
3.90625e-08,6.622978136275726,6.836513825971221,-7.834891887380651
3.960503472222222e-08,1.17291989296925,3.8979490146224878,-15.352741580243311
4.014756944444445e-08,6.782231571223976,3.977575732096613,-7.731698959343712
4.0690104166666665e-08,5.570042712537505,6.176137141880741,-8.5868398462809
4.1232638888888895e-08,4.407714436458723,4.988878574498115,-9.603290600724076
4.177517361111111e-08,3.030037957658925,3.718876197058824,-11.230944411008497
4.231770833333334e-08,12.176722659872548,7.603380308765736,-5.190120955495415
4.286024305555556e-08,5.117604229864733,8.64716344486864,-8.954758134296977
4.3402777777777786e-08,5.121420018886744,5.119512124375738,-8.951521153598767
4.39453125e-08,3.310661854736484,4.2160409368116145,-10.846276851661116
4.448784722222222e-08,12.273737066548806,7.792199460642645,-5.155656946996029
4.503038194444445e-08,3.0835327691433276,7.678634917846066,-11.154939420013692
4.5572916666666665e-08,4.680462722939976,3.8819977460416517,-9.34253719398492
4.6115451388888894e-08,1.5539221505740917,3.117192436757034,-14.131132526617822
4.665798611111111e-08,16.877856748988517,9.215889449781304,-3.77225213612864
4.720052083333334e-08,1.8545171502375741,9.366186949613045,-13.363116561380881
4.7743055555555557e-08,2.3807844047509343,2.117650777494254,-12.278224410541883
4.8285590277777786e-08,0.7099114288776139,1.545347916814274,-17.533383421521535
4.8828125e-08,10.48242175527183,5.596166592074722,-5.84080880746952
4.937065972222223e-08,0.21833060848705071,5.35037618187944,-22.654278849466284
4.991319444444445e-08,4.668842296596978,2.4435864525420143,-9.353333054482295
5.0455729166666664e-08,0.7123982048691319,2.6906202507330548,-17.518196936585912
5.0998263888888894e-08,8.666765020838735,4.689581612853933,-6.666854882582865
5.154079861111111e-08,1.3827387599195917,5.0247518903791635,-14.638023732582718
5.208333333333334e-08,3.8010088649358913,2.5918738124277416,-10.246436276063731
5.2625868055555556e-08,0.7688382517938878,2.2849235583648895,-17.1870752756817
5.3168402777777786e-08,9.029327369527707,4.899082810660797,-6.488871109008118
5.37109375e-08,3.4237474822130194,6.226537425870363,-10.700407842110737
5.425347222222223e-08,5.6007945443499505,4.5122710132814845,-8.562928684933825
5.479600694444445e-08,2.7869984320694985,4.193896488209725,-11.594057857130071
5.5338541666666664e-08,10.568308158930297,6.677653295499898,-5.805370418111141
5.5881076388888894e-08,3.741693360945018,7.155000759937657,-10.314743167536758
5.642361111111111e-08,5.726570250475792,4.734131805710405,-8.46647917319636
5.696614583333334e-08,3.646323844033191,4.686447047254491,-10.426872727039303
5.7508680555555556e-08,11.541996870458556,7.594160357245873,-5.4226155788134704
5.8051215277777785e-08,7.962590757594128,9.752293814026341,-7.034881146384436
5.859375e-08,7.5279886146414725,7.7452896861178,-7.2786355650665415
5.913628472222223e-08,7.121737957835989,7.324863286238731,-7.519565201977867
5.967881944444445e-08,9.359012266406678,8.240375112121333,-6.333124936122525
6.022135416666666e-08,6.817905365699741,8.08845881605321,-7.708915412834193
6.076388888888889e-08,5.9296300433666715,6.373767704533206,-8.31514912034731
6.130642361111112e-08,7.39874896582759,6.664189504597131,-7.353842178220473
6.184895833333335e-08,8.134957660299126,7.766853313063358,-6.941872131747364
6.239149305555555e-08,5.167434987191486,6.651196323745306,-8.912674887329185
6.293402777777778e-08,2.7026307868675565,3.9350328870295215,-11.727557903991102
6.347656250000001e-08,8.04163463315194,5.3721327100097485,-6.991981727919942
6.401909722222224e-08,4.076162827147858,6.058898730149899,-9.942909860098073
6.456163194444444e-08,2.241528242545357,3.1588455348466074,-12.539982948886333
6.510416666666667e-08,0.5485167837821757,1.3950225131637664,-18.65352589230819
6.56467013888889e-08,4.527645495394705,2.5380811395884404,-9.486700948815324
6.61892361111111e-08,3.683579004448809,4.105612249921757,-10.382725211713277
6.673177083333333e-08,8.57376368740506,6.128671345926935,-6.713710009103242
6.727430555555556e-08,1.7891708507232988,5.181467269064179,-13.518906960907087
6.781684027777779e-08,7.418022392347345,4.603596621535322,-7.342543701239832
6.8359375e-08,3.354290874721883,5.386156633534615,-10.789417893920064
6.890190972222222e-08,8.937717713405187,6.146004294063535,-6.5331587620284095
6.944444444444445e-08,1.0804868037153015,5.009102258560244,-15.709230430049148
6.998697916666668e-08,6.596858845114729,3.8386728244150152,-7.852053186417457
7.052951388888889e-08,1.5622332641627217,4.079546054638725,-14.107966292279347
7.107204861111112e-08,9.919967746743987,5.741100505453354,-6.08032249983257
7.161458333333334e-08,0.32301427793820603,5.121491012341097,-20.953207905755168
7.215711805555555e-08,10.886997757463135,5.605006017700671,-5.676343766347983
7.269965277777778e-08,0.45193202656078413,5.66946489201196,-19.494693910153092
7.324218750000001e-08,9.3525573775365,4.902244702048643,-6.336121288413821
7.378472222222224e-08,0.7738587393767132,5.063208058456607,-17.158808185468498
7.432725694444444e-08,11.447308172279724,6.110583455828219,-5.458391355060682
7.486979166666667e-08,2.017778849327106,6.732543510803415,-12.996689447181488
7.54123263888889e-08,5.652066089257701,3.8349224692924038,-8.523352787131188
7.595486111111113e-08,1.187128869878544,3.4195974795681225,-15.300446433426128
7.649739583333333e-08,6.255437713624033,3.7212832917512886,-8.082848059866649
7.703993055555556e-08,1.654801844646954,3.9551197791354937,-13.857965137556027
7.758246527777779e-08,4.974562618354647,3.3146822315008007,-9.077876080884424
7.812500000000002e-08,1.242396934659206,3.1084797765069268,-15.102821389018853
7.866753472222222e-08,3.407114224204556,2.324755579431881,-10.7215581647403
7.921006944444445e-08,2.7487714238768004,3.077942824040678,-11.654038828320331
7.975260416666668e-08,4.750836020519435,3.7498037221981173,-9.277724694938419
8.029513888888891e-08,0.8745393150002969,2.8126876677598656,-16.627631720933366
8.083767361111111e-08,6.645578712713338,3.760059013856817,-7.820097037814456
8.138020833333334e-08,4.606754273234699,5.6261664929740185,-9.411474627298707
8.192274305555557e-08,5.0595062272196305,4.833130250227165,-9.004343753246411
8.246527777777778e-08,2.812875755467607,3.9361909913436186,-11.553919602668639
8.30078125e-08,3.815170859502216,3.3140233074849115,-10.230285178258613
8.355034722222224e-08,5.216688225077927,4.515929542290071,-8.871476281720428
8.409288194444447e-08,2.5645536902578936,3.8906209576679105,-11.955307144211858
8.463541666666667e-08,3.3486615771758754,2.9566076337168843,-10.796712510593945
8.51779513888889e-08,5.715385801309471,4.532023689242673,-8.47496958529222
8.572048611111113e-08,5.64874812516134,5.682066963235405,-8.525902999022593
8.626302083333333e-08,2.0482939493544654,3.848521037257903,-12.931502279980771
8.680555555555556e-08,4.422685302278955,3.2354896258167103,-9.58856472004648
8.734809027777779e-08,3.891105492638937,4.156895397458946,-10.144695048786915
8.789062500000002e-08,7.126670402882018,5.508887947760478,-7.516558362621329
8.843315972222222e-08,1.3615721971820887,4.244121300032053,-14.705018354048665
