#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B5D5B0
#Date Time: 2023-03-19 10:17:17.154
#Sample rate: 16000Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: MyWave
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 2 V
#Offset: 0 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-1.0239524009035268,0.742489968530693,0.23678107896236744
-1.0238899009035267,0.742489968530693,0.23711901554301568
-1.0238274009035269,0.742489968530693,0.23407758631718675
-1.0237649009035268,0.742489968530693,0.23711901554301568
-1.0237024009035267,0.742489968530693,0.23678107896236436
-1.0236399009035269,0.742489968530693,0.23509139605912913
-1.0235774009035268,0.742489968530693,0.23542933263977434
-1.0235149009035267,0.7424899685306924,0.2374569521236615
-1.0234524009035268,0.7421504558168217,0.23610520580107333
-1.0233899009035268,0.7418109431029491,0.23542933263977434
-1.0233274009035267,0.7418109431029491,0.23475345947847534
-1.0232649009035268,0.7418109431029491,0.23340171315588717
-1.0232024009035268,0.7418109431029491,0.2334017131558847
-1.0231399009035267,0.7418109431029491,0.23644314238171732
-1.0230774009035268,0.7418109431029491,0.23542933263977617
-1.0230149009035268,0.7418109431029491,0.23678107896236744
-1.0229524009035267,0.7418109431029491,0.234415522897832
-1.0228899009035268,0.7418109431029491,0.23576726922042263
-1.0228274009035268,0.7418109431029491,0.23542933263977434
-1.0227649009035267,0.7418109431029491,0.23407758631718553
-1.0227024009035268,0.7418109431029491,0.23644314238171915
-1.0226399009035267,0.7418109431029491,0.2334017131558847
-1.0225774009035267,0.7418109431029491,0.23576726922042016
-1.0225149009035268,0.7418109431029491,0.23441552289782952
-1.0224524009035267,0.7411319176752053,0.23509139605912605
-1.0223899009035269,0.7411319176752053,0.23542933263977373
-1.0223274009035268,0.7411319176752053,0.23272583999458818
-1.0222649009035267,0.7411319176752053,0.23610520580107086
-1.0222024009035269,0.7411319176752053,0.23340171315588962
-1.0221399009035268,0.7411319176752053,0.23576726922042263
-1.0220774009035267,0.7411319176752053,0.2320499668332916
-1.0220149009035269,0.7411319176752053,0.23373964973652991
-1.0219524009035268,0.7411319176752053,0.2323879034139399
-1.0218899009035267,0.7411319176752053,0.23103615709134678
-1.0218274009035269,0.7411319176752053,0.23542933263976634
-1.0217649009035268,0.7404528922474612,0.23610520580107086
-1.0217024009035267,0.7404528922474619,0.2350913960591156
-1.0216399009035269,0.7407924049613326,0.22934647418811588
-1.0215774009035268,0.7404528922474612,0.23441552289782952
-1.0215149009035267,0.7404528922474612,0.23542933263977373
-1.0214524009035268,0.7404528922474612,0.23509139605912666
-1.0213899009035268,0.7404528922474612,0.23644314238171915
-1.0213274009035267,0.74045289224746,0.23407758631718922
-1.0212649009035268,0.7397738668197186,0.2384707618656008
-1.0212024009035268,0.7397738668197174,0.23644314238171915
-1.0211399009035267,0.7397738668197174,0.23373964973653483
-1.0210774009035268,0.7397738668197174,0.23475345947847598
-1.0210149009035268,0.7397738668197174,0.2347534594784778
-1.0209524009035267,0.7397738668197174,0.23576726922042016
-1.0208899009035268,0.7397738668197174,0.23441552289782952
-1.0208274009035267,0.7397738668197174,0.23306377657523641
-1.0207649009035267,0.7397738668197174,0.23272583999459495
-1.0207024009035268,0.7397738668197174,0.23644314238171915
-1.0206399009035267,0.7401133795335894,0.2323879034139399
-1.0205774009035267,0.7397738668197174,0.23509139605912482
-1.0205149009035268,0.7397738668197174,0.23441552289782952
-1.0204524009035267,0.7401133795335894,0.23678107896236744
-1.0203899009035269,0.739773866819718,0.23711901554301507
-1.0203274009035268,0.7397738668197174,0.23745695212366397
-1.0202649009035267,0.7390948413919735,0.23576726922042263
-1.0202024009035269,0.7394343541058448,0.23306377657524133
-1.0201399009035268,0.7394343541058455,0.23306377657523641
-1.0200774009035267,0.7394343541058455,0.23542933263977434
-1.0200149009035269,0.7390948413919741,0.23576726922042202
