 (-8.321205387888160748e-03+8.321205387888132993e-03j), (2.367810789623668033e-01+0.000000000000000000e+00j)
 (-5.726496434549984728e-03+5.726496434549983860e-03j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-4.589468589126690333e-03-4.589468589126690333e-03j), (2.371190155430150104e-01+0.000000000000000000e+00j)
 (-3.434402849538821263e-03-3.434402849538821696e-03j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-2.955748683873779016e-03-3.753563006837789574e-03j), (2.364431423817197064e-01+0.000000000000000000e+00j)
 (-2.326055615777599100e-03+2.340691505311421391e-03j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-2.169986885026042520e-03+2.240756224586106654e-03j), (2.364431423817190958e-01+0.000000000000000000e+00j)
 (-1.905160835830859529e-03+1.947747850890275230e-03j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-1.803131225900061379e-03-2.015285250056939037e-03j), (2.367810789623679968e-01+0.000000000000000000e+00j)
 (-1.705716334227941246e-03+1.720098214145061042e-03j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-1.476558222403192427e-03+1.489105542785668524e-03j), (2.367810789623679968e-01+0.000000000000000000e+00j)
 (-1.373924541812485828e-03+1.373924541812485394e-03j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-1.335251226371202355e-03+1.335251226371202788e-03j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-1.207960355744835826e-03+1.207960355744835826e-03j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-9.839244066886549279e-04-0.000000000000000000e+00j), (2.523261616721879097e-01+0.000000000000000000e+00j)
 (-8.904934858473335154e-04+9.454728359204509587e-04j), (2.371190155430150104e-01+0.000000000000000000e+00j)
 (-8.301613471803903892e-04+8.301613471803906061e-04j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-8.248328913083422973e-04-8.248328913083425142e-04j), (2.371190155430155933e-01+0.000000000000000000e+00j)
 (-7.120646137966390489e-04+7.322083385621149009e-04j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-6.110573876699524828e-04-6.110573876699523744e-04j), (2.364431423817190958e-01+0.000000000000000000e+00j)
 (-5.765435791294180315e-04-5.852625627975719140e-04j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-5.683077452034402885e-04-5.822368217917511584e-04j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-5.507762644870142126e-04+5.507762644870139957e-04j), (2.367810789623673862e-01+0.000000000000000000e+00j)
 (-5.196096467081062070e-04+5.196096467081063154e-04j), (2.367810789623673862e-01+0.000000000000000000e+00j)
