 (-1.309977613644908445e-01-1.309977613644908445e-01j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-1.740331908379938800e-02-1.756969507912724271e-02j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-1.000108130119055187e-02-1.000108130119055187e-02j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-5.719346324946715521e-03-5.792011885140557759e-03j), (2.384707618656080885e-01+0.000000000000000000e+00j)
 (-5.129564366812326692e-03-5.129564366812326692e-03j), (2.381328252849611027e-01+0.000000000000000000e+00j)
 (-2.365665092466183884e-03+2.365665092466184317e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.669508734014565161e-03+1.669508734014565812e-03j), (2.374569521236664094e-01+0.000000000000000000e+00j)
 (-1.635152553387332446e-03-1.729775389471038989e-03j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-1.335970469482068799e-03-1.335970469482068799e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.227441541141024908e-03+1.227441541141024908e-03j), (2.384707618656093930e-01+0.000000000000000000e+00j)
 (-1.207636300567555433e-03-1.274693271289155556e-03j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-1.196796997443991305e-03+1.196796997443991305e-03j), (2.381328252849611027e-01+0.000000000000000000e+00j)
 (-9.840580315817191222e-04-0.000000000000000000e+00j), (2.337396497365329950e-01+0.000000000000000000e+00j)
 (-9.748566314770205953e-04+9.897548169808460632e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-9.590229314328519838e-04+9.943148459046378344e-04j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-9.498695753838987252e-04+1.002165181218030556e-03j), (2.388086984462557960e-01+0.000000000000000000e+00j)
 (-7.935524253980820973e-04+7.935524253980820973e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-7.574018520580792519e-04+7.574018520580795772e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-7.536185179886719819e-04+7.663002514707068120e-04j), (2.384707618656093930e-01+0.000000000000000000e+00j)
 (-6.535540029794341746e-04-6.535540029794341746e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-6.139877631670072116e-04-6.328317756230582248e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-5.667646484038501263e-04-5.667646484038501263e-04j), (2.391466350269053076e-01+0.000000000000000000e+00j)
 (-5.414811942831565268e-04-5.414811942831564183e-04j), (2.388086984462576001e-01+0.000000000000000000e+00j)
 (-5.387843961993755504e-04+5.830496815454282557e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-5.339213891596084277e-04-5.433580162322723325e-04j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-5.136800178725419623e-04+5.291172844688023106e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-5.071521691233163431e-04-5.140045519132833930e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-5.011496155877575220e-04+5.011496155877574136e-04j), (2.388086984462589046e-01+0.000000000000000000e+00j)
 (-4.733327355083500536e-04+5.113803957879191212e-04j), (2.388086984462564066e-01+0.000000000000000000e+00j)
 (-4.528504347219402247e-04+4.528504347219402247e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-4.225632612734082764e-04-4.225632612734082764e-04j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-4.004205430388163523e-04+4.052523640503969131e-04j), (2.388086984462582940e-01+0.000000000000000000e+00j)
 (-3.681646732083860988e-04-3.681646732083857735e-04j), (2.381328252849617133e-01+0.000000000000000000e+00j)
 (-3.656664620049897719e-04-3.741357369824052192e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-3.609074043194714500e-04+3.793418787453829905e-04j), (2.391466350269053076e-01+0.000000000000000000e+00j)
 (-3.447846690328336340e-04+3.447846690328337424e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-3.424320946069674327e-04-3.424320946069673243e-04j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-3.115976547696011601e-04-3.164770215588135578e-04j), (2.394845716075522934e-01+0.000000000000000000e+00j)
 (-3.114710548017066974e-04+3.238509640299159381e-04j), (2.391466350269046970e-01+0.000000000000000000e+00j)
 (-2.904423269761754328e-04-2.904423269761754328e-04j), (2.391466350269046970e-01+0.000000000000000000e+00j)
