tau [s],ASD [V/√Hz],PSD [dB/Hz]
0.0,11270.724183814524,19.996450480651184
5.425347222222222e-10,2.3893714023306627,-16.740231123833464
1.0850694444444444e-09,112.79939591363811,0.0
1.6276041666666667e-09,8.553082973426772,-11.201840886923012
2.1701388888888887e-09,14.642906013719111,-8.866794989884392
2.7126736111111112e-09,9.950354888776827,-10.54468203287441
3.2552083333333333e-09,30.01795301237214,-5.749257003722244
3.797743055555555e-09,7.14924265377609,-11.980467360448923
4.3402777777777775e-09,16.930428543094358,-8.236388227188234
4.8828125e-09,16.471668416247265,-8.355691827200722
5.4253472222222225e-09,36.26991593783976,-4.9276022480629535
5.9678819444444446e-09,8.327138708975696,-11.318109748697577
6.510416666666667e-09,35.722678428969516,-4.9936275969202635
7.052951388888889e-09,8.215779330463265,-11.376580079021398
7.59548611111111e-09,24.024975669347636,-6.716438173103764
8.138020833333334e-09,11.244139763094973,-10.013805386420252
8.680555555555555e-09,27.281474465924745,-6.164389351519502
9.223090277777778e-09,10.51694347603888,-10.304172340481337
9.765625e-09,23.394767979315848,-6.831880314540544
1.0308159722222222e-08,13.863480790601322,-9.104344888394976
1.0850694444444445e-08,19.772339070051725,-7.562487243895756
1.1393229166666666e-08,23.045612099847368,-6.897185261977685
1.1935763888888889e-08,2.4642899632562814,-16.6061496561745
1.247829861111111e-08,20.704104927644547,-7.362503138483541
1.3020833333333333e-08,6.106591231856544,-12.6650792403178
1.3563368055555556e-08,21.63052513123733,-7.172397107567139
1.4105902777777777e-08,8.041498833917549,-11.469697705262707
1.46484375e-08,22.536481456016087,-6.994206617446333
1.519097222222222e-08,20.805220075595365,-7.341344597529737
1.5733506944444445e-08,15.960080921112022,-8.49271684842443
1.6276041666666667e-08,11.135988912252191,-10.055779839774623
1.681857638888889e-08,22.269432598850408,-7.045976220115351
1.736111111111111e-08,3.7699562872991916,-14.759704592472191
1.7903645833333333e-08,5.014729314412588,-13.520592782352566
1.8446180555555556e-08,2.935576859847777,-15.846133181853975
1.898871527777778e-08,7.812857910870496,-11.59496847778991
1.953125e-08,2.2485885292181713,-17.00396782974866
2.007378472222222e-08,21.897233297864222,-7.119175283688206
2.0616319444444444e-08,2.2507800537262934,-16.99973716022891
2.1158854166666667e-08,27.438105034904705,-6.139526595551599
2.170138888888889e-08,2.8959620985440466,-15.905139001805539
2.224392361111111e-08,21.566655302502998,-7.185239767256656
2.2786458333333332e-08,2.2629327004225614,-16.976351355942715
2.3328993055555555e-08,7.472562525146147,-11.788372162338334
2.3871527777777778e-08,0.7865556055046492,-21.565773433622674
2.44140625e-08,12.801986242188095,-9.450294176909283
2.495659722222222e-08,0.6533133145695441,-22.37185264600122
2.5499131944444444e-08,19.2836274761312,-7.671180407018484
2.6041666666666667e-08,2.186823629529469,-17.124930158555294
2.658420138888889e-08,20.217698783144197,-7.4657505198541685
2.7126736111111112e-08,4.615904497599466,-13.880499590808205
2.7669270833333332e-08,10.78297883297586,-10.19568021142262
2.8211805555555555e-08,5.707235872873639,-12.958809520669838
2.8754340277777778e-08,9.428713602274415,-10.778543296136757
2.9296875e-08,7.163438167766502,-11.971852572636369
2.983940972222222e-08,17.970349614848494,-7.977502473997301
3.038194444444444e-08,11.268453740357256,-10.004424476786586
3.0924479166666666e-08,12.231862498054145,-9.64814183430705
3.146701388888889e-08,15.9105760885004,-8.50620869009902
3.200954861111111e-08,23.9807433708284,-6.724441323140507
3.2552083333333335e-08,11.146992750180274,-10.051490551605937
3.309461805555556e-08,13.848364392446083,-9.109082912090514
3.363715277777778e-08,11.478894544893107,-9.924067077350706
3.41796875e-08,8.273016973861035,-11.346428584548836
3.472222222222222e-08,15.365768525982414,-8.657524872571019
3.526475694444444e-08,19.282884894736306,-7.671347650039635
3.5807291666666666e-08,14.179798480762821,-9.006367150090055
3.634982638888889e-08,22.385801196838273,-7.023341312590484
3.689236111111111e-08,22.576075566191566,-6.986583237564802
3.7434895833333334e-08,15.616068733023742,-8.587350619877302
3.797743055555556e-08,33.41799574078835,-5.2832637449802675
3.851996527777778e-08,11.715391211690008,-9.835499782739552
3.90625e-08,26.744479364080103,-6.2507262594691335
3.960503472222222e-08,11.258553495593342,-10.008241780969287
4.014756944444444e-08,24.024688991188203,-6.716489995626818
4.0690104166666665e-08,10.345739429098304,-10.375452378915451
4.123263888888889e-08,23.831244241185424,-6.751600561604475
4.177517361111111e-08,8.73362632657659,-11.111121673972576
4.2317708333333334e-08,22.60716871988711,-6.980605983199873
4.286024305555556e-08,6.7898381889076544,-12.204473492562691
4.340277777777778e-08,39.19509938725559,-4.590750038034432
4.39453125e-08,4.4669133593872665,-14.022992448884064
4.448784722222222e-08,23.69721988981896,-6.776093753876943
4.503038194444444e-08,3.735474410552545,-14.799610081612151
4.5572916666666665e-08,19.000513336780692,-7.735414393877116
4.611545138888889e-08,1.6951398496964076,-18.231012403503485
4.665798611111111e-08,31.717506341098332,-5.510077384664433
4.7200520833333334e-08,2.887398680735354,-15.918000201237676
4.7743055555555557e-08,4.6618578348181,-13.837477484250009
4.828559027777778e-08,4.210988763502689,-14.279226912697906
4.8828125e-08,30.533454756628007,-5.675308278076838
4.9370659722222225e-08,0.7307376506502604,-21.88545289247027
4.991319444444444e-08,35.394757603695545,-5.033678313641694
5.0455729166666664e-08,8.559532907174148,-11.198567079122592
5.099826388888889e-08,34.079836435379754,-5.198092721079353
5.154079861111111e-08,18.432030755350564,-7.86733587431467
5.208333333333333e-08,44.22354333564556,-4.066532370929227
5.2625868055555556e-08,17.39491772644204,-8.118843948455547
5.316840277777778e-08,31.89171290640612,-5.486289279708963
5.37109375e-08,17.563506751778498,-8.076955418225605
5.4253472222222225e-08,24.20385184822921,-6.684222878789297
5.479600694444445e-08,15.504310762394633,-8.618543092068771
