 (-5.356899495578239245e-02-5.356899495578238551e-02j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-1.601567760397861612e-02+1.601567760397861612e-02j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-1.098749613854760505e-02+1.123851126240981574e-02j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-7.279506392270350575e-03+7.335828241253773870e-03j), (2.381328252849597982e-01+0.000000000000000000e+00j)
 (-5.182915215522500632e-03+5.182915215522502367e-03j), (2.377948887043128123e-01+0.000000000000000000e+00j)
 (-4.334248748484144202e-03+4.370465598098460976e-03j), (2.377948887043122017e-01+0.000000000000000000e+00j)
 (-3.352368510929623364e-03+3.352368510929622930e-03j), (2.377948887043133952e-01+0.000000000000000000e+00j)
 (-2.485128219434955092e-03+2.518159992904472032e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-2.093653645955667868e-03+2.093653645955667868e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-2.038451704233491119e-03+2.038451704233490251e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-1.768092493865929893e-03+1.787392046903535587e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.452417223768110496e-03+1.486952067410537374e-03j), (2.381328252849611027e-01+0.000000000000000000e+00j)
 (-1.308536436690458651e-03+1.317459438421940453e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.273292391225787530e-03+1.273292391225787530e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-1.138873825190493292e-03+1.138873825190493509e-03j), (2.381328252849604921e-01+0.000000000000000000e+00j)
 (-1.022042165960717740e-03+1.036219724418337498e-03j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-9.852118631368852585e-04+1.003982576026793807e-03j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-9.839913938420096016e-04-0.000000000000000000e+00j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-9.771256823970313719e-04-9.771256823970318056e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-9.289150001523045937e-04+9.289150001523044852e-04j), (2.384707618656093930e-01+0.000000000000000000e+00j)
 (-7.154838840872113645e-04-7.154838840872113645e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-6.958675948922183555e-04-6.958675948922183555e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-6.886157569254264775e-04+7.236405108542866109e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-6.779134437160937469e-04+6.779134437160933132e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-6.189011142419676001e-04-6.317440992838766400e-04j), (2.384707618656086991e-01+0.000000000000000000e+00j)
 (-6.083747634989402448e-04-6.179094715452020103e-04j), (2.391466350269053076e-01+0.000000000000000000e+00j)
 (-5.074119478942086927e-04-5.074119478942085842e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-4.851612886089596058e-04-4.955091590468220335e-04j), (2.391466350269046970e-01+0.000000000000000000e+00j)
 (-4.748888215884436784e-04+4.748888215884435699e-04j), (2.394845716075535980e-01+0.000000000000000000e+00j)
 (-4.639963376966232630e-04-4.784460971342114743e-04j), (2.388086984462569895e-01+0.000000000000000000e+00j)
 (-4.478811696348315350e-04+4.478811696348315892e-04j), (2.391466350269065011e-01+0.000000000000000000e+00j)
 (-4.397630132240499721e-04-4.476366429274777035e-04j), (2.401604447688495125e-01+0.000000000000000000e+00j)
