 (-1.662629367948305933e-04+1.675069990066257878e-04j), (2.421880642527408922e-01+0.000000000000000000e+00j)
 (-1.600617587334777906e-04+1.638798294363078250e-04j), (2.404983813494971923e-01+0.000000000000000000e+00j)
 (-1.585978096747914733e-04-1.598521653885022237e-04j), (2.425260008333879891e-01+0.000000000000000000e+00j)
 (-1.557856020720719669e-04-1.572519779581394263e-04j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-1.544065838562599143e-04-1.608460946163032613e-04j), (2.401604447688500954e-01+0.000000000000000000e+00j)
 (-1.522047316119575888e-04+1.573429201731558645e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.518184226713826374e-04-1.541958602766410039e-04j), (2.411742545107949109e-01+0.000000000000000000e+00j)
 (-1.517567880568116898e-04-1.545489073108759649e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.483616052841782050e-04-1.493373244499537845e-04j), (2.421880642527390881e-01+0.000000000000000000e+00j)
 (-1.455016458209330561e-04-1.466400582625129430e-04j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-1.421459772626024274e-04-1.450420851164090498e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-1.400923500822930697e-04-1.411776797658138220e-04j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-1.387691962006395421e-04+1.396742171379234776e-04j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-1.364644819251290215e-04+1.373185879297857907e-04j), (2.415121910914432013e-01+0.000000000000000000e+00j)
 (-1.349017777860009304e-04+1.384142867311774635e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.316500905423360272e-04-1.328239531671471653e-04j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-1.291198097437908131e-04-1.324828034046981388e-04j), (2.408363179301467039e-01+0.000000000000000000e+00j)
 (-1.270955013026962691e-04+1.283530209405560070e-04j), (2.418501276720914916e-01+0.000000000000000000e+00j)
 (-1.265969656051560335e-04-1.285536963400209644e-04j), (2.415121910914438119e-01+0.000000000000000000e+00j)
 (-1.262755311127854716e-04-1.364775921852249847e-04j), (2.398225081882018883e-01+0.000000000000000000e+00j)
 (-1.249903239692324707e-04+1.301820138524378953e-04j), (2.404983813494984135e-01+0.000000000000000000e+00j)
 (-1.228661033435712890e-04-1.247982041861143802e-04j), (2.421880642527396987e-01+0.000000000000000000e+00j)
 (-1.208584274477415637e-04+1.230925718148332152e-04j), (2.415121910914432013e-01+0.000000000000000000e+00j)
