2way travel time [s],AS [V],Running average of AS [V],PSD [dB/Hz]
2.7126736111111476e-10,0.5395394027668641,nan,-18.725193432301573
8.138020833333377e-10,8.428197486898647,4.483868444832756,-6.7880780678939825
1.3563368055555606e-09,1.12584786820623,4.777022677552439,-15.530628002771241
1.8988715277777835e-09,22.900176412202754,12.013012140204491,-2.447036821442571
2.4414062500000064e-09,1.747667143775685,12.32392177798922,-13.620837885422812
2.9839409722222293e-09,15.671525826721037,8.709596485248362,-4.094312273582369
3.5264756944444522e-09,4.197340855150909,9.934433340935973,-9.815682715270839
4.069010416666675e-09,20.822276482521797,12.509808668836353,-2.860143012656482
4.611545138888898e-09,5.204462584678777,13.013369533600287,-8.881666193939994
5.154079861111114e-09,40.22930317675713,22.716882880717954,0.0
5.696614583333337e-09,3.2358296698980804,21.732566423327604,-10.945568572842772
6.23914930555556e-09,25.397048797707857,14.316439233802969,-1.9975925667997538
6.781684027777783e-09,12.231809938907181,18.81442936830752,-5.170517858233809
7.324218750000006e-09,13.191817472580391,12.711813705743786,-4.84237876497012
7.866753472222229e-09,4.347615366398728,8.769716419489558,-9.662913950237613
8.409288194444452e-09,11.37616174579288,7.861888556095804,-5.485467518873252
8.951822916666675e-09,4.169750565701727,7.772956155747304,-9.844324338240586
9.494357638888898e-09,7.572619512717825,5.8711850392097755,-7.252963739093716
1.003689236111112e-08,1.357875340548612,4.465247426633218,-14.716826086340163
1.0579427083333337e-08,7.360921905773346,4.359398623160979,-7.37610299901971
1.112196180555556e-08,1.3935349522686515,4.377228429021,-14.60424644054479
1.1664496527777783e-08,15.134698127319497,8.264116539794074,-4.2456874704146665
1.2207031250000006e-08,11.930132057907793,13.532415092613645,-5.278972590759025
1.2749565972222228e-08,8.153813639233157,10.041972848570474,-6.931817289538255
1.3292100694444451e-08,16.19290801346081,12.173360826346983,-3.952176612955528
1.3834635416666674e-08,13.411958975649005,14.802433494554908,-4.770502937540485
1.4377170138888897e-08,15.082448726530743,14.247203851089875,-4.260706525105887
1.4919704861111113e-08,15.181571082097605,15.132009904314174,-4.2322579275569545
1.5462239583333343e-08,14.008000623085529,14.594785852591567,-4.581663577046218
1.600477430555556e-08,5.3908536115095105,9.69942711729752,-8.728849713644053
1.654730902777779e-08,15.722685081428056,10.556769346468784,-4.080157943187185
1.7089843750000005e-08,10.649773660074981,13.18622937075152,-5.772021322971547
1.7632378472222235e-08,9.362763767560244,10.006268713817612,-6.331384442839518
1.817491319444445e-08,8.585998143797054,8.97438095567865,-6.707517198442218
1.8717447916666667e-08,17.11007969748969,12.848038920643372,-3.7129047764024263
1.9259982638888897e-08,2.0428443375039804,9.576462017496835,-12.94307234967312
1.9802517361111113e-08,13.809490214792522,7.926167276148253,-4.643648634516845
2.0345052083333343e-08,5.243796338450509,9.526643276621517,-8.848966941286374
2.088758680555556e-08,13.731950437844244,9.487873388147378,-4.668102828221415
2.143012152777779e-08,2.7829891557461433,8.257469796795196,-11.600309960413679
2.1972656250000005e-08,8.511403155081021,5.647196155413584,-6.745413481005653
2.2515190972222234e-08,2.4140621650242693,5.462732660052647,-12.217940605835455
2.305772569444445e-08,13.858168066668643,8.136115115846458,-4.628366861076871
