tau [s],AS [V],ASD [V/√Hz],PSD [dB/Hz]
-7.643771701388888e-06,0.08407311197202173,0.12031564380761088,-28.519466800410953
-7.643229166666666e-06,0.0970290257600135,0.13885663832957976,-27.897021324167884
-7.642686631944445e-06,0.10164369516247139,0.14546061559523363,-27.695233581566022
-7.642144097222223e-06,0.0506989177780191,0.07255438498388692,-30.71605114238318
-7.6416015625e-06,0.1142580173245647,0.1635127639757282,-27.18717119551114
-7.641059027777778e-06,0.14508038527520115,0.20762214635341394,-26.14995102974352
-7.640516493055556e-06,0.06346978591623062,0.09083056372867228,-29.740367697560007
-7.639973958333333e-06,0.15707230164371525,0.2247835800689275,-25.805041955197506
-7.63943142361111e-06,0.14943358891069342,0.2138519442726843,-26.02155576272105
-7.638888888888888e-06,0.17246877144150896,0.24681721404101659,-25.398933334585656
-7.638346354166666e-06,0.1049381767129896,0.15017529380168332,-27.556702890774947
-7.637803819444444e-06,0.03708435998309365,0.05307081588753303,-32.07413015013496
-7.637261284722223e-06,0.1404893302375292,0.20105196321570043,-26.289604611250663
-7.63671875e-06,0.2041753665313545,0.29219199929282824,-24.666004592982734
-7.636176215277778e-06,0.10118512450774095,0.14480436269509678,-27.71487132777657
-7.635633680555556e-06,0.29287418045183317,0.419127408860697,-23.099227168729772
-7.635091145833333e-06,0.043044323397884804,0.0616000212244193,-31.426879175462492
-7.634548611111111e-06,0.17275193904170552,0.2472224505229782,-25.391808724151513
-7.634006076388889e-06,0.0293566466610763,0.04201181281638966,-33.08897357529667
-7.633463541666666e-06,0.15333856730444462,0.2194402944417055,-25.909524020210895
-7.632921006944444e-06,0.14167844336767876,0.20275368340254973,-26.253000266156675
-7.632378472222221e-06,0.22763610703915968,0.32576627806270686,-24.193626533632305
-7.6318359375e-06,0.17442746237649273,0.24962026433063983,-25.349889406060623
-7.631293402777778e-06,0.25965103071280193,0.3715823072650949,-23.622137522825632
-7.630750868055556e-06,0.003948115371362788,0.005650082786162573,-41.80213968110625
-7.630208333333334e-06,0.14298098077577082,0.20461772320269705,-26.213255314194676
-7.629665798611111e-06,0.11683867150515541,0.1672058956072289,-27.090171929400924
-7.629123263888889e-06,0.08428813744865193,0.1206233632205001,-28.508373460457094
-7.628580729166666e-06,0.10278769136759171,0.14709776969485017,-27.646626913691605
-7.628038194444444e-06,0.1288406322351532,0.18438170364278608,-26.665509559122263
-7.6274956597222225e-06,0.13525957205267697,0.19356774253908254,-26.454357941673088
-7.626953125e-06,0.09140124603683958,0.1308028155945962,-28.156516868577448
-7.626410590277778e-06,0.16725577002789246,0.23935697370332124,-25.53222694107014
-7.625868055555555e-06,0.09822071757716848,0.14056204883286857,-27.844007005366784
-7.625325520833333e-06,0.10826641590933518,0.15493828201826443,-27.421100432206668
